,model,grounding,generated_text,label
230,dodeca,Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,"yea i remember seeing it when it came out in 1997 , james cameron was inspired by shipwreck movies .",0
231,memnet,Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,"yes , the movie titanic came out in 1962 .",0
232,dodeca,Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,its a team based online first person shooter game . you play as tracer and genji .,0
233,memnet,Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,overwatch is a team based multiplayer online first person shooter video game developed by blizzard entertainment .,1
234,dodeca,"""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",sort of . overwatch can be played either as a team of six or as a hero .,0
235,memnet,"""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",overwatch is divided into two teams of six players .,1
236,dodeca,"It provides suitable conditions for many types of ecosystems, as well as water for hydroelectric power plants and crop irrigation.","yes it can be very dangerous , especially for hydroelectric plants",0
237,memnet,"It provides suitable conditions for many types of ecosystems, as well as water for hydroelectric power plants and crop irrigation.",that ' s true . it ' s also important for ecosystems and ecosystems .,1
238,dodeca,"It offers an abundance of taste, and is one of the most popular and copied in the world.",it is very popular in italy and copied from other countries,0
239,memnet,"It offers an abundance of taste, and is one of the most popular and copied in the world.","yes , it is one of the most popular foods in the world .",1
240,dodeca,"They were marketed to consumers as affordable and accessible computers that, for the first time, were intended for the use of a single nontechnical user.",that makes sense . they were originally marketed to be affordable but now they are intended to be used for a single user .,0
241,memnet,"They were marketed to consumers as affordable and accessible computers that, for the first time, were intended for the use of a single nontechnical user.","i ' m not sure , but i do know that they ' ve been around since the late 2000 ' s .",0
242,dodeca,"McDonald's is a fast food company that was founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States.","i ' m not sure who it was founded by , but it was started by richard maurice mcdonald .",0
243,memnet,"McDonald's is a fast food company that was founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States.",it was founded in 1940 by richard and maurice mcdonald .,1
244,dodeca,The diet forces the body to burn fats rather than carbohydrates.,you should avoid fats instead of carbs .,0
245,memnet,The diet forces the body to burn fats rather than carbohydrates.,it forces the body to burn fats rather than carbohydrates .,1
246,dodeca,"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",there are a lot of species that eat animals like carrion and lories .,0
247,memnet,"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.","i ' m not sure , but i do know that they also eat floral nectar and fruits .",1
248,dodeca,"Despite not being a single, ""Jenny Was a Friend of Mine"" is one of The Killers' most popular and critically acclaimed songs.",i agree . i think their most popular song is jenny .,0
249,memnet,"Despite not being a single, ""Jenny Was a Friend of Mine"" is one of The Killers' most popular and critically acclaimed songs.","yes , they are considered one of my most favorite albums .",1
250,dodeca,"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",that makes sense . honda is also the 8th largest auto manufacturer in japan .,0
251,memnet,"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",i agree . they are the world ' s largest automobile manufacturer .,0
252,dodeca,"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.","yes , they do . they are headquartered in brazil , argentina , and brazil .",0
253,memnet,"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.","i ' m not sure , but i do know that there are a variety of countries in canada , australia and chile .",0
254,dodeca,"The game is based on the 1974 film ""The Godfather Part II"", and is a sequel to the 2006 game ""The Godfather"", which was based on the 1972 film of the same name.","i ' m not sure if you ' ve ever seen the 1974 movie , the godfather , or the 2006 movie .",0
255,memnet,"The game is based on the 1974 film ""The Godfather Part II"", and is a sequel to the 2006 game ""The Godfather"", which was based on the 1972 film of the same name.","i ' m not sure , but i do know he was the godfather director of the game .",0
256,dodeca,"Among the early Filipino to act as ""dental practitioners"" and ""curers of toothaches"" were barbers.","interestingly , the philippines called themselves dentists",0
257,memnet,"Among the early Filipino to act as ""dental practitioners"" and ""curers of toothaches"" were barbers.","i ' m not sure , but i do know that the word dentistry refers to the treatment of dentistry .",0
258,dodeca,"Small businesses range from fifteen employees under the Australian ""Fair Work Act 2009"", fifty employees according to the definition used by the European Union, and fewer than five thousand employees, to qualify for many U.S. Small Business Administration programs.",not really . they range from 15 to 50 employees .,0
259,memnet,"Small businesses range from fifteen employees under the Australian ""Fair Work Act 2009"", fifty employees according to the definition used by the European Union, and fewer than five thousand employees, to qualify for many U.S. Small Business Administration programs.","yes , they have fewer employees than two employees .",0
260,dodeca,The history of Georgia in the United States of America spans pre-Columbian time to the present-day U.S. state of Georgia.,"well , back in the day , georgia was the first state to have a cotton plantation .",0
261,memnet,The history of Georgia in the United States of America spans pre-Columbian time to the present-day U.S. state of Georgia.,the history of the united states goes back to the 18th century .,0
262,dodeca,"Historically, the most prominent stars were grouped into constellations and asterisms, the brightest of which gained proper names.",well historically the stars have been grouped together to form proper names,0
263,memnet,"Historically, the most prominent stars were grouped into constellations and asterisms, the brightest of which gained proper names.",the stars were grouped into constellations and stars .,0
264,dodeca,"Indeed, most are invisible from Earth even through the most powerful telescopes.",most stars are invisible but most are visible from earth,0
265,memnet,"Indeed, most are invisible from Earth even through the most powerful telescopes.","yes , and most stars are invisible telescopes .",0
266,dodeca,"In an interview she recounted her performance of Elvis Presley's ""Can't Help Falling in Love With You"" at age four while on a trip to St. Tropez to an audience at the Hotel Byblos.","she did an interview with elvis presley , and she said that she was on a tour of st . john ' s garden at four years old .",0
267,memnet,"In an interview she recounted her performance of Elvis Presley's ""Can't Help Falling in Love With You"" at age four while on a trip to St. Tropez to an audience at the Hotel Byblos.",she sings elvis presley presley presley ' s voice . she ' s also a singer and dancer .,0
268,dodeca,"He is still writing the sixth novel, ""The Winds of Winter"".","yes , he is . he is writing a sixth novel called "" the winter ' s watch "" .",0
269,memnet,"He is still writing the sixth novel, ""The Winds of Winter"".",he is the winds of winter and sixth novel .,0
270,dodeca,"System of a Down, sometimes shortened to System and abbreviated as SOAD, is an heavy metal band from Glendale, California, formed in 1994.",their most famous song is called soad which is a heavy metal song,0
271,memnet,"System of a Down, sometimes shortened to System and abbreviated as SOAD, is an heavy metal band from Glendale, California, formed in 1994.","i ' m not sure , but i do know they are a heavy metal band from california .",1
272,dodeca,"The leading roles are played by Vivien Leigh (Scarlett), Clark Gable (Rhett), Leslie Howard (Ashley), and Olivia de Havilland (Melanie).",i like that the main character is played by scarlett scarlett .,0
273,memnet,"The leading roles are played by Vivien Leigh (Scarlett), Clark Gable (Rhett), Leslie Howard (Ashley), and Olivia de Havilland (Melanie).","i haven ' t seen the movie , but i do know it was vivien leigh , clark gable , and olivia de havilland .",1
274,dodeca,"Divorce laws vary considerably around the world, but in most countries divorce requires the sanction of a court or other authority in a legal process, which may involve issues of alimony (spousal support), child custody, child visitation / access, parenting time, child support, distribution of property, and division of debt.","i ' m glad too . in the us , it ' s a lot harder to get a divorce than it is in other countries .",0
275,memnet,"Divorce laws vary considerably around the world, but in most countries divorce requires the sanction of a court or other authority in a legal process, which may involve issues of alimony (spousal support), child custody, child visitation / access, parenting time, child support, distribution of property, and division of debt.",that ' s true . divorce laws vary considerably around the world .,1
276,dodeca,"It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep.",do you know that protein and fat form milk ?,0
277,memnet,"It comprises proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep.","yes , it is made from milk and milk .",1
278,dodeca,Mistborn is a series of epic fantasy novels written by American author Brandon Sanderson and published by Tor Books.,that is a good choice . the series is based on fantasy novels .,0
279,memnet,Mistborn is a series of epic fantasy novels written by American author Brandon Sanderson and published by Tor Books.,"yes , it ' s a romantic novel written by stephen king .",0
280,dodeca,", there have been 387 seasons of ""Big Brother"" in over 54 franchise countries and regions.",i am not sure but i do know that there are over 387 different languages on the show,0
281,memnet,", there have been 387 seasons of ""Big Brother"" in over 54 franchise countries and regions.","i ' m not sure , but the show has been around since 2011 .",0
282,dodeca,The top sirloin is the most prized of these and is specifically marked for sale under that name.,i love t bone steak ! it ' s the most popular steak in the us !,0
283,memnet,The top sirloin is the most prized of these and is specifically marked for sale under that name.,"i don ' t know much about it , but i do know that it ' s a cut of chicken that ' s supposed to be cut from hamburgers .",0
284,dodeca,"Colorado is bordered by Wyoming to the north, Nebraska to the northeast, Kansas to the east, Oklahoma to the southeast, New Mexico to the south, Utah to the west, and touches Arizona to the southwest at the Four Corners.","colorado is located in wyoming , nebraska , kansas , and new mexico .",0
285,memnet,"Colorado is bordered by Wyoming to the north, Nebraska to the northeast, Kansas to the east, Oklahoma to the southeast, New Mexico to the south, Utah to the west, and touches Arizona to the southwest at the Four Corners.",i don ' t know much about mexico but i do know that it is bordered to the south and the south .,0
286,dodeca,"In European folklore, the unicorn is often depicted as a white horse-like or goat-like animal with a long horn and cloven hooves (sometimes a goat's beard).",yes they are ! they are usually depicted as white horses with long hooves and horns .,0
287,memnet,"In European folklore, the unicorn is often depicted as a white horse-like or goat-like animal with a long horn and cloven hooves (sometimes a goat's beard).","i ' m not sure , but i do know that they are often used in european folklore .",1
288,dodeca,Coffee is slightly acidic and has a stimulating effect on humans because of its caffeine content.,coffee is very acidic . it has stimulating effects on humans,0
289,memnet,Coffee is slightly acidic and has a stimulating effect on humans because of its caffeine content.,"i am not sure , but i do know that it has a stimulating effect on the caffeine .",0
290,dodeca,"The phenomenon began in 1963 and continued past the group's break-up in 1970, despite the band ceasing public performances in 1966.","i ' m not a big fan of their music , either . it started in 1963 when they broke up .",0
291,memnet,"The phenomenon began in 1963 and continued past the group's break-up in 1970, despite the band ceasing public performances in 1966.",it ' s hard to believe that beatlemania began in 1963 .,1
292,dodeca,MSN Dial-up is an Internet service provider operated by Microsoft in the United States and formerly also in several other countries.,that ' s great ! do you use msn or dial up ?,0
293,memnet,MSN Dial-up is an Internet service provider operated by Microsoft in the United States and formerly also in several other countries.,i ' ve never heard of dial - up . i ' m sorry to hear that .,1
294,dodeca,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".",i love tyrion too . it ' s an adaptation by george r r martin,0
295,memnet,"It is an adaptation of ""A Song of Ice and Fire"", George R. R. Martin's series of fantasy novels, the first of which is ""A Game of Thrones"".","i love the song "" a song of ice and fire "" by george r . r . martin .",0
296,dodeca,"The title is a play on ""Gray's Anatomy"", a classic human anatomy textbook first published in 1858 in London and written by Henry Gray.",have you ever read the title of the game of thrones ?,0
297,memnet,"The title is a play on ""Gray's Anatomy"", a classic human anatomy textbook first published in 1858 in London and written by Henry Gray.",have you ever heard of grey ? it ' s a classic anatomy textbook first published in 1858 .,0
298,dodeca,Gardening is considered by many people to be a relaxing activity.,i love gardening as well . it is considered to be relaxing .,1
299,memnet,Gardening is considered by many people to be a relaxing activity.,"i love gardening , it is considered a relaxing activity .",1
300,dodeca,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.","it aired in the us , canada and latin america",1
301,memnet,"He was the creator and host of ""The Joy of Painting"", an instructional television program that aired from 1983 to 1994 on PBS in the United States, and also aired in Canada, Latin America, and Europe.",he was born on pbs and aired on pbs in 1994 .,0
302,dodeca,"Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.","well , there are three categories of finance : public , corporate , and personal .",1
303,memnet,"Finance can be broken into three sub-categories: public finance, corporate finance and personal finance.","there are three categories of finance , corporate finance , and personal finance .",1
304,dodeca,"Penguin Random House employs more than 10,000 people globally.",they also employ more than 10000 people worldwide .,1
305,memnet,"Penguin Random House employs more than 10,000 people globally.","i ' ve never heard of that , but i do know that it ' s been around since the early 2000 ' s .",0
306,dodeca,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,tennis is such a fun racket sport . do you play singles or doubles ?,1
307,memnet,Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).,tennis is a racket sport played individually against a single opponent,0
308,dodeca,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,red hair only occurs in 1 - 2 percent of the population .,1
309,memnet,Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,red hair occurs naturally in 1 - 2 % of the population .,1
310,dodeca,Trump was born and grew up in the New York City borough of Queens and earned an economics degree from the Wharton School of the University of Pennsylvania.,"i know a lot about him . he was born in queens , new york . he grew up there .",1
311,memnet,Trump was born and grew up in the New York City borough of Queens and earned an economics degree from the Wharton School of the University of Pennsylvania.,"i ' m not sure , but i know it ' s based on the university of massachusetts .",0
312,dodeca,The Beatles were an English rock band formed in Liverpool in 1960.,"the beatles formed in 1960 in liverpool , england .",1
313,memnet,The Beatles were an English rock band formed in Liverpool in 1960.,"i ' m not sure , but they formed in liverpool in 1960 .",1
314,dodeca,"Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.","i ' m not sure , but comic books have been around since the 18th century in japan .",1
315,memnet,"Although some origins in 18th century Japan and 1830s Europe, comic books were first popularized in the United States during the 1930s.",they were first popularized in the united states during the 1930s .,1
316,dodeca,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.","there are so many elements to them like balloons , speech bubbles , text and characters",1
317,memnet,"The key elements of comic books include panels, balloons (speech bubbles), text (lines), and characters.",i don ' t know much about dc comics but i do know that elements of comics include speech bubbles and characters .,1
318,dodeca,"Numerous international adaptations of ""Top Chef"" have also been produced.","yes that is true , there have been numerous international versions of top chef that have been produced as well .",1
319,memnet,"Numerous international adaptations of ""Top Chef"" have also been produced.","that is true , there are many international versions that have been shown as "" top chef "" .",1
320,dodeca,"Meditation may be used to reduce stress, anxiety, depression, and pain.",you should try it . it can reduce stress and anxiety .,1
321,memnet,"Meditation may be used to reduce stress, anxiety, depression, and pain.","yes it is . it can also include meditation , anxiety , and anxiety .",0
322,dodeca,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.","i ' m not sure , but as of 2016 it was the largest print and digital circulation in the us .",1
323,memnet,"As of September 2016, it had the largest combined print-and-digital circulation of any daily newspaper in the United States.",i ' m not sure but it ' s the 8th most popular newspaper in the us .,0
324,dodeca,Today there are more than two billion Christians worldwide.,today there is more than 2 billion christians in the world .,1
325,memnet,Today there are more than two billion Christians worldwide.,there are more than 2 billion people worldwide worldwide .,1
326,dodeca,"Sephora first launched in Paris on August 14, 1969.","yes , they first launched back in 1969 in paris .",1
327,memnet,"Sephora first launched in Paris on August 14, 1969.","they have been around for a long time , since 1854 .",0
328,dodeca,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,i can ' t believe scream was released in 1996 !,1
329,memnet,Scream is a 1996 American slasher film directed by Wes Craven and written by Kevin Williamson.,have you ever watched scream ? it was directed by wes craven .,1
330,dodeca,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.","i do not , but i do know that she was born in michigan and raised there .",1
331,memnet,"Born and raised in Michigan, Madonna moved to New York City in 1978 to pursue a career in modern dance.",she was born in 1968 and raised in new york city .,0
332,dodeca,Hundreds of types of cheese from various countries are produced.,there are hundreds of different kinds of cheese produced in different countries .,1
333,memnet,Hundreds of types of cheese from various countries are produced.,"yes , there are many different types of cheese .",1
334,dodeca,Purple is a color intermediate between blue and red.,purple is my favorite color . it ' s between red and blue .,1
335,memnet,Purple is a color intermediate between blue and red.,purple is my favorite color . it is intermediate between blue and red .,0
336,dodeca,"Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.","i ' m not sure , but most law school only offers a three year program .",1
337,memnet,"Although most law schools only offer the traditional three-year program, several U.S. law schools offer an Accelerated JD program.","i ' m not sure , but i do know that it ' s an accelerated jd program .",0
338,dodeca,"In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",i think it ' s interesting that vegetarians were promoted by philosophers and religious groups .,1
339,memnet,"In both instances the diet was closely connected with the idea of nonviolence toward animals (called ""ahimsa"" in India), and was promoted by religious groups and philosophers.",it ' s hard to believe that vegetarianism was originally connected to the idea of nonviolence toward animals .,1
340,dodeca,American pancakes are similar to Scotch pancakes or drop scones.,"yes , i love american pancakes , they are like scotch pancakes",1
341,memnet,American pancakes are similar to Scotch pancakes or drop scones.,"yes , they are similar to scotch pancakes , which are different types of pancakes .",1
342,dodeca,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,have you ever been to nashville ? it ' s the capital of tennessee .,1
343,memnet,Nashville () is the capital and most populous city of the U.S. state of Tennessee and the seat of Davidson County.,nashville is the capital and most populous city of tennessee .,1
344,dodeca,"Snorkeling is a popular recreational activity, particularly at tropical resort locations.",it took me a while to get used to it . it is very popular at tropical resorts .,1
345,memnet,"Snorkeling is a popular recreational activity, particularly at tropical resort locations.","i ' m not sure , but i do know that it is a recreational activity .",1
346,dodeca,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.",have you ever had an iphone ? the first generation was released in june of 2007 .,1
347,memnet,"The first-generation iPhone was released on June 29, 2007, and there have been multiple new hardware iterations with new iOS releases since.","the first generation iphone was released on june 29 , 2007 .",1
348,dodeca,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.",during sleep the body is in a state of restoring the immune system and nervous system .,1
349,memnet,"During sleep, most of the body's systems are in an anabolic state, helping to restore the immune, nervous, skeletal, and muscular systems; these are vital processes that maintain mood, memory, and cognitive performance, and play a large role in the function of the endocrine and immune systems.",sleep is a key component in the skeletal system .,0
350,dodeca,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.",i am not sure who created it but the internet has a wide range of info resources,1
351,memnet,"The Internet carries a vast range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and file sharing.","i ' m not sure , but it ' s a wide range of resources , services , and services .",1
352,dodeca,"After water, it is the most widely consumed drink in the world.","i don ' t know any flavors , but i do know that tea is one of the most consumed drinks in the whole world .",1
353,memnet,"After water, it is the most widely consumed drink in the world.",tea is the most widely consumed drink in the world .,0
354,dodeca,"A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.",telenovelas are usually produced in latin american,1
355,memnet,"A telenovela ( or ; , ), ) is a type of limited-run television serial drama or soap opera produced primarily in Latin America.","it is similar to soap opera , latin america and latin america .",0
356,dodeca,"The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.",well the term is also applied to changing gender roles,1
357,memnet,"The term may also be applied to the broader process of changing gender role (""living as a woman"" instead of living as a man, or vice versa), including but not necessarily limited to medical procedures.","im not sure but i do know that the term "" gender "" can be used to describe the role of a child ' s gender .",0
358,dodeca,They are an ever-changing cross-breed of the fastest dogs.,they are also considered to be the fastest breed of dogs .,1
359,memnet,They are an ever-changing cross-breed of the fastest dogs.,"yes , they are the fastest dogs to cross - breed .",0
360,dodeca,"Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.","yeah , it was originally designed for a show show in 1953 .",1
361,memnet,"Originally designed as a show car for the 1953 Motorama display at the New York Auto Show, it generated enough interest to induce GM to make a production version to sell to the public.","i ' m not sure , but it ' s been around since 1953 .",1
362,dodeca,The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC.,"i don ' t really have a favorite character , but i do know that it ' s an animated sitcom .",1
363,memnet,The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC.,i love the flintstones ! it was created by hanna - barbera .,1
364,dodeca,"The series takes place in a romanticized Stone Age setting, depicts the lives of the titular characters and their next-door neighbors and best friends.",me too ! i love how the show is set in the stone age,1
365,memnet,"The series takes place in a romanticized Stone Age setting, depicts the lives of the titular characters and their next-door neighbors and best friends.","that ' s awesome ! i ' ve never heard of them , but i do know that they ' ve been around for a long time .",0
366,dodeca,"After singing in church during her childhood, she pursued a career in gospel music as a teenager.","yes , she is a great singer . she sang in church as a child .",1
367,memnet,"After singing in church during her childhood, she pursued a career in gospel music as a teenager.",she really is . she sang gospel music during her childhood .,1
368,dodeca,The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,"do you like disney movies ? i really like the 1989 disney movie "" little mermaid "" .",1
369,memnet,The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,have you ever seen the walt disney movie ? it ' s one of my favorites .,1
370,dodeca,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.",i agree ! it ' s also known as the media capital for the world !,1
371,memnet,"A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, and sports.","it ' s also known as the cultural , financial , and media capital of the world .",1
372,dodeca,"Rum and Coke, or a Cuba Libre (; , ""Free Cuba"" libre here an adjective, not a verb), is a highball cocktail consisting of cola, rum, and traditionally lime juice on ice.","i ' m not sure about coconut , but i do know that it is a high ball cocktail",1
373,memnet,"Rum and Coke, or a Cuba Libre (; , ""Free Cuba"" libre here an adjective, not a verb), is a highball cocktail consisting of cola, rum, and traditionally lime juice on ice.","i ' m not sure , but i do know that it is made from cuba , cuba , and cuba .",0
374,dodeca,"During the middle of the 19th century, wine often was coloured with beetroot juice.",interestingly beets were also used in wine in the middle 19th century,1
375,memnet,"During the middle of the 19th century, wine often was coloured with beetroot juice.","i ' m not sure , but i do know it ' s been used in the middle ages .",0
376,dodeca,Blue has been an important colour in art and decoration since ancient times.,"i ' m not sure , but i do know that blue is an important color in decoration and art .",1
377,memnet,Blue has been an important colour in art and decoration since ancient times.,blue has been used in art since ancient times .,1
378,dodeca,Christians make up a majority of the population in 158 countries and territories.,christianity makes up the majority of people in 158 different countries .,1
379,memnet,Christians make up a majority of the population in 158 countries and territories.,the majority of the population is in 158 countries .,0
380,dodeca,"Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.","yep , he was a great theoretical physicist and author",1
381,memnet,"Stephen William Hawking, ( born 8 January 1942) is an English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge.","i ' m not sure , but i know he was born in 1942 .",1
382,dodeca,"Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",agriculture is actually the cultivation of animals and plants .,1
383,memnet,"Agriculture is the cultivation and breeding of animals, plants and fungi for food, fiber, biofuel, medicinal plants and other products used to sustain and enhance life.",i agree . agriculture is the cultivation and breeding of animals,0
384,dodeca,"The word ""pizza"" was first documented in AD 997 in Gaeta and successively in different parts of Central and Southern Italy.",the word pizza has been around since 997 ad,1
385,memnet,"The word ""pizza"" was first documented in AD 997 in Gaeta and successively in different parts of Central and Southern Italy.","i ' m not sure , but pizza was first documented in 997 .",0
386,dodeca,"Chocolate is a typically sweet, usually brown food preparation of ""Theobroma cacao"" seeds, roasted and ground.",do you like chocolate ? it is typically sweet and usually brown .,1
387,memnet,"Chocolate is a typically sweet, usually brown food preparation of ""Theobroma cacao"" seeds, roasted and ground.",i love chocolate ! it ' s so sweet and sweet !,1
388,dodeca,"Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.","yes , and since our body is less dense , the water supports our weight .",1
389,memnet,"Since the human body is only slightly less dense than water, water supports the weight of the body during swimming.","yes , and the body supports the weight of the body of water .",0
390,dodeca,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",i know that he was a jazz critic in 1971 .,1
391,memnet,"He contributed to ""The Daily Telegraph"" as its jazz critic from 1961 to 1971, articles gathered in ""All What Jazz: A Record Diary 1961–71"" (1985), and he edited ""The Oxford Book of Twentieth Century English Verse"" (1973).",he wrote a lot of poetry . he wrote poetry in the 19th century .,0
392,dodeca,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.",the term pizza has been around for a long time . it was first used in a manuscript in a southern italian town called gaeta .,1
393,memnet,"The term ""pizza"" was first recorded in the 10th century, in a Latin manuscript from the Southern Italy town of Gaeta in Lazio, on the border with Campania.","the term "" pizza "" was first recorded in the 10th century in a latin manuscript from the southern italy town of gaeta in lazio .",1
394,dodeca,"In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.","i ' m not sure , but in june 2013 it was one of the fastest growing cities in the us",1
395,memnet,"In July 2013, it was the fastest-growing major city in the United States and remained in the Top 5 in May 2015 with an annual growth rate of 2.1%.","yes , it is one of the fastest growing cities in the us .",1
396,dodeca,"In 1963, they relocated to Baltimore, Maryland and became the Baltimore Bullets, taking the name from previous team of the same name.","i haven ' t won many , but i have been a fan since 1963 when they moved to baltimore .",1
397,memnet,"In 1963, they relocated to Baltimore, Maryland and became the Baltimore Bullets, taking the name from previous team of the same name.","i ' m not sure , but i know they relocated to baltimore , maryland .",1
398,dodeca,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.",hoarding and caching are common behavior in bird species,1
399,memnet,"""Hoarding"" and ""caching"" are common behaviors in many bird species as well as in rodents.","i ' m not sure , but hoarding is also known as "" hoarding """,0
400,dodeca,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.",you ' re welcome . they ' re often regarded the most valuable position in the defense .,1
401,memnet,"Linebackers are often regarded as the most important position in defense, due to their versatility in providing hard hits on running plays or an additional layer of pass protection, when required.",linebackers are also known as the versatility of defense .,0
402,dodeca,Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,"that ' s true . in some countries , electric bicycles are regulated by the government .",1
403,memnet,Many countries have enacted electric bicycle laws to regulate the use of electric bicycles.,"i ' m not sure , but the laws of bicycles have been around since the late 19th century .",0
404,dodeca,Weight loss occurs when the body is expending more energy in work and metabolism than it is absorbing from food or other nutrients.,that ' s great ! weight loss happens when your body expends more energy than it ' s absorbing .,1
405,memnet,Weight loss occurs when the body is expending more energy in work and metabolism than it is absorbing from food or other nutrients.,"i don ' t know much about weight loss , but i do know that it ' s important to lose energy .",1
406,dodeca,Apple picking is an activity found at apple farms.,i picked all kinds of fruits . apple picking was one of them .,1
407,memnet,Apple picking is an activity found at apple farms.,i like apple picking . it ' s one of the world ' s largest farms in the world .,0
408,dodeca,Caffeine also stimulates certain portions of the autonomic nervous system.,it stimulates a certain portion of the nervous system !,1
409,memnet,Caffeine also stimulates certain portions of the autonomic nervous system.,"i ' m not sure , but i do know that it ' s a psychoactive system .",0
410,dodeca,"Since the time of the Roman Empire, broccoli has been considered a uniquely valuable food among Italians.","i think you ' re right ! since the roman times , it has been one of the most valuable foods among italians !",1
